Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5419,Yield,328,Cotton,2018,2018,kg/ha,10000,Fc,Calculated data
QC,Crops,3,Albania,5419,Yield,328,Cotton,2018,2018,kg/ha,11081,Fc,Calculated data
QC,Crops,3,Albania,5419,Yield,826,Tobacco,2018,2018,kg/ha,16863,Fc,Calculated data
QC,Crops,4,Algeria,5419,Yield,328,Cotton,2018,2018,kg/ha,3077,Fc,Calculated data
QC,Crops,4,Algeria,5419,Yield,826,Tobacco,2018,2018,kg/ha,20967,Fc,Calculated data
QC,Crops,5,American Samoa,5419,Yield,661,Cocoa,2018,2018,kg/ha,542,Fc,Calculated data
QC,Crops,7,Angola,5419,Yield,661,Cocoa,2018,2018,kg/ha,1615,Fc,Calculated data
QC,Crops,7,Angola,5419,Yield,656,Coffee,2018,2018,kg/ha,3037,Fc,Calculated data
QC,Crops,7,Angola,5419,Yield,328,Cotton,2018,2018,kg/ha,18333,Fc,Calculated data
QC,Crops,7,Angola,5419,Yield,826,Tobacco,2018,2018,kg/ha,10280,Fc,Calculated data
QC,Crops,8,Antigua and Barbuda,5419,Yield,328,Cotton,2018,2018,kg/ha,1750,Fc,Calculated data
QC,Crops,9,Argentina,5419,Yield,328,Cotton,2018,2018,kg/ha,25485,Fc,Calculated data
QC,Crops,9,Argentina,5419,Yield,667,Tea,2018,2018,kg/ha,20702,Fc,Calculated data
QC,Crops,9,Argentina,5419,Yield,826,Tobacco,2018,2018,kg/ha,19020,Fc,Calculated data
QC,Crops,1,Armenia,5419,Yield,826,Tobacco,2018,2018,kg/ha,23257,Fc,Calculated data
QC,Crops,10,Australia,5419,Yield,328,Cotton,2018,2018,kg/ha,51536,Fc,Calculated data
QC,Crops,10,Australia,5419,Yield,826,Tobacco,2018,2018,kg/ha,27380,Fc,Calculated data
QC,Crops,11,Austria,5419,Yield,826,Tobacco,2018,2018,kg/ha,16781,Fc,Calculated data
QC,Crops,52,Azerbaijan,5419,Yield,328,Cotton,2018,2018,kg/ha,17628,Fc,Calculated data
QC,Crops,52,Azerbaijan,5419,Yield,667,Tea,2018,2018,kg/ha,13101,Fc,Calculated data
QC,Crops,52,Azerbaijan,5419,Yield,826,Tobacco,2018,2018,kg/ha,18997,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,328,Cotton,2018,2018,kg/ha,36548,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,667,Tea,2018,2018,kg/ha,11656,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,826,Tobacco,2018,2018,kg/ha,20965,Fc,Calculated data
QC,Crops,255,Belgium,5419,Yield,826,Tobacco,2018,2018,kg/ha,28306,Fc,Calculated data
QC,Crops,23,Belize,5419,Yield,661,Cocoa,2018,2018,kg/ha,2149,Fc,Calculated data
QC,Crops,23,Belize,5419,Yield,656,Coffee,2018,2018,kg/ha,12716,Fc,Calculated data
QC,Crops,53,Benin,5419,Yield,656,Coffee,2018,2018,kg/ha,1801,Fc,Calculated data
QC,Crops,53,Benin,5419,Yield,328,Cotton,2018,2018,kg/ha,12633,Fc,Calculated data
QC,Crops,53,Benin,5419,Yield,826,Tobacco,2018,2018,kg/ha,6738,Fc,Calculated data
QC,Crops,18,Bhutan,5419,Yield,826,Tobacco,2018,2018,kg/ha,14957,Fc,Calculated data
QC,Crops,19,Bolivia,5419,Yield,661,Cocoa,2018,2018,kg/ha,5653,Fc,Calculated data
QC,Crops,19,Bolivia,5419,Yield,656,Coffee,2018,2018,kg/ha,8994,Fc,Calculated data
QC,Crops,19,Bolivia,5419,Yield,328,Cotton,2018,2018,kg/ha,9286,Fc,Calculated data
QC,Crops,19,Bolivia,5419,Yield,667,Tea,2018,2018,kg/ha,43545,Fc,Calculated data
QC,Crops,19,Bolivia,5419,Yield,826,Tobacco,2018,2018,kg/ha,10054,Fc,Calculated data
QC,Crops,80,Bosnia,5419,Yield,826,Tobacco,2018,2018,kg/ha,15270,Fc,Calculated data
QC,Crops,20,Botswana,5419,Yield,328,Cotton,2018,2018,kg/ha,20000,Fc,Calculated data
