Entity,Staple Crop,Crop Yeild (kg/ha),"Agriculture, value added per worker (constant 2010 US$)",Urban Population (%),Employed in Agriculture(%),Cash Crop,Cash Crop Yeild (kg/ha)
Afghanistan,Maize Rice Wheat,70283,761.4615127999999,24.803,61.13199997,Cotton,10000
Albania,Maize Soybeans Wheat,129029,5374.47637,57.434,41.36600113,Cotton Tobacco,27944
Algeria,Maize Rice Wheat,76438,14065.12385,70.848,13.07499981,Cotton Tobacco,24044
Argentina,Maize Rice Soybeans Wheat,200828,338735.9112,91.50299999999999,0.518000007,Cotton Tea Tobacco,65207
Armenia,Maize Wheat,96336,6289.041997,63.085,35.32899857,Tobacco,23257
Australia,Maize Rice Soybeans Wheat,216760,85599.24915,85.70100000000001,2.644000053,Cotton Tobacco,78916
Austria,Maize Soybeans Wheat,204811,27433.490380000003,57.715,4.5310001369999995,Tobacco,16781
Azerbaijan,Maize Rice Soybeans Wheat,120472,2122.5699870000003,54.714,36.35599899,Cotton Tea Tobacco,49726
Bangladesh,Maize Rice Soybeans Wheat,167508,888.6276232999999,34.308,42.66500092,Cotton Tea Tobacco,69169
Belgium,Maize Wheat,160139,67003.27067,97.876,1.1770000459999999,Tobacco,28306
Belize,Maize Rice Soybeans Yams,192691,6840.329318000001,45.406000000000006,15.93700027,Cocoa Coffee,14865
Benin,Maize Rice Soybeans Yams,206058,983.1628383999999,45.695,41.81900024,Coffee Cotton Tobacco,21172
Bhutan,Maize Rice Soybeans Wheat,102874,1426.6095810000002,38.678000000000004,57.98600006,Tobacco,14957
Bolivia,Maize Rice Soybeans Wheat,88115,1909.249473,68.393,27.84799957,Cocoa Coffee Cotton Tea Tobacco,77532
Brazil,Maize Rice Soybeans Wheat Yams,255253,11165.11065,85.77,10.24199963,Cocoa Coffee Cotton Tea Tobacco,110575
Bulgaria,Maize Rice Soybeans Wheat,169141,9496.008272,73.99,6.855999947000001,Cotton Tobacco,22421
Burkina Faso,Maize Rice Soybeans Yams,111192,1825.037893,27.53,29.44199944,Cotton Tobacco,18982
Burundi,Maize Rice Soybeans Wheat Yams,126906,209.41528180000003,12.078,91.56099701,Coffee Cotton Tea Tobacco,78317
Cambodia,Maize Rice Soybeans,96915,1620.994801,22.188000000000002,28.79999924,Coffee Cotton Tobacco,39673
Cameroon,Maize Rice Soybeans Wheat Yams,168843,791.5239374,54.578,62.34799957,Cocoa Coffee Cotton Tea Tobacco,60931
Canada,Maize Soybeans Wheat,170765,68786.27919,81.259,2.012000084,Tobacco,27662
Central African Republic,Maize Rice Yams,105219,394.1931978,40.277,85.6269989,Cocoa Coffee Cotton Tobacco,16932
Chad,Maize Rice Wheat Yams,142627,1545.468252,22.515,85.93900299,Cotton Tobacco,22307
Chile,Maize Rice Wheat,241710,11682.91955,87.36,9.376999855,Tobacco,31200
China,Maize Rice Soybeans Wheat Maize Rice Soybeans Wheat,400546,4839.156834,55.5,19.54800034,Coffee Cotton Tea Tobacco Coffee Cotton Tea Tobacco,231773
Colombia,Maize Rice Soybeans Wheat Yams,226117,5791.188822,79.764,15.99100018,Cocoa Coffee Cotton Tea Tobacco,95038
Congo,Maize Rice Yams,60811,968.9446423,65.543,36.93700027,Cocoa Coffee Tobacco,10333
Costa Rica,Maize Rice Yams,211815,9880.278956,76.862,12.30700016,Cocoa Coffee Cotton Tobacco,38488
Croatia,Maize Soybeans Wheat,173054,13537.949690000001,56.155,9.227999687,Tobacco,19721
Cuba,Maize Rice Yams,117754,2857.972338,76.896,18.30900002,Cocoa Coffee Tobacco,21786
Cyprus,Wheat,8230,21401.67073,66.946,3.9949998860000004,Tobacco,43155
Dominican Republic,Maize Rice Yams,117025,6219.24319,78.566,13.30900002,Cocoa Coffee Tobacco,25185
Ecuador,Maize Rice Soybeans Wheat,108702,4517.5781719999995,63.398,26.19199944,Cocoa Coffee Cotton Tea Tobacco,56875
Egypt,Maize Rice Soybeans Wheat,269276,5000.607265,42.785,25.81500053,Cotton,22213
El Salvador,Maize Rice Soybeans,118223,2422.1018719999997,69.7,18.11100006,Cocoa Coffee Cotton Tea Tobacco,61684
Eswatini,Maize Rice Wheat,62065,2454.394839,23.3,68.07700348,Cotton Tobacco,10832
Ethiopia,Maize Rice Soybeans Wheat Yams,413763,532.8828386,19.428,69.88700104,Coffee Cotton Tea Tobacco,37881
Fiji,Maize Rice Yams,210000,2625.980273,54.726000000000006,39.39500046,Cocoa Coffee Tobacco,12777
France,Maize Rice Soybeans Wheat,207830,61164.078629999996,79.655,2.7449998860000004,Tobacco,26038
Gabon,Maize Rice Soybeans Yams,110412,3587.7770130000004,88.118,41.23300171,Cocoa Coffee,4062
Gambia,Maize Rice,17732,1154.612773,59.228,28.43700027,Cotton,3482
Georgia,Maize Soybeans Wheat,84469,1322.153491,57.448,41.79499817,Tea Tobacco,13079
Germany,Maize Soybeans Wheat,199796,37052.8173,77.2,1.394000053,Tobacco,26106
Ghana,Maize Rice Soybeans Yams,233985,1963.1023850000001,54.086000000000006,42.52799988,Cocoa Coffee Cotton Tobacco,35708
Greece,Maize Rice Soybeans Wheat,257598,19285.784359999998,78.046,12.89799976,Cotton Tobacco,45661
Guatemala,Maize Rice Soybeans Wheat,97950,2841.361465,49.971000000000004,31.87599945,Cocoa Coffee Cotton Tea Tobacco,92212
Guinea,Maize Rice Yams,106747,550.2216453999999,35.141,67.96199799,Cocoa Coffee Cotton Tobacco,31455
Guinea-Bissau,Maize Rice,24885,723.5760528,42.123000000000005,83.70400238,Cotton,11308
Guyana,Maize Rice Yams,105635,10548.36066,26.441,15.22000027,Cocoa Coffee Tobacco,20012
Haiti,Maize Rice Yams,128066,920.2392943,52.427,42.58499908,Cocoa Coffee Cotton Tobacco,27359
Honduras,Maize Rice Soybeans Wheat,80955,2115.399308,55.165,28.72200012,Cocoa Coffee Cotton Tobacco,48858
Hungary,Maize Rice Soybeans Wheat,207248,21845.9277,70.5,4.900000095,Tobacco,15597
India,Maize Rice Soybeans Wheat,106173,1519.354766,32.777,44.36199951,Cocoa Coffee Cotton Tea Tobacco,60799
Indonesia,Maize Rice Soybeans,120309,3331.6803440000003,53.313,33.04399872,Cocoa Coffee Cotton Tea Tobacco,31549
Iran,Maize Rice Soybeans Wheat,174044,9609.67995,73.358,18.03199959,Cotton Tea Tobacco,102658
Iraq,Maize Rice Soybeans Wheat,128143,2315.909463,69.921,20.3029995,Cotton Tobacco,28169
Israel,Maize Wheat,268427,85944.93832,92.179,1.042999983,Cotton Tobacco,38948
Italy,Maize Rice Soybeans Wheat,250881,46202.5327,69.565,3.752000093,Tobacco,34523
Jamaica,Maize Rice Yams,226735,3296.7241289999997,54.833,18.46500015,Cocoa Coffee Tobacco,33063
